Name,Age,Gender,AreaOfLiving,ExtraCurricular,TenthMarks,TwelfthMarks,StudyHours,Attendance,PreviousCGPA,Performance
Sanjana,17.0,Female,Urban,Yes,94.0,63.0,3.9,43,4.0,Poor
Triveni,20.0,Female,Urban,Yes,63.0,94.0,2.4,90,6.0,Average
Omkar,17.0,Male,Urban,Yes,83.0,73.0,4.3,100,7.6,Average
Akash,19.0,Male,Urban,Yes,92.0,97.0,4.4,80,8.6,Good
Pooja,17.0,Female,Rural,Yes,63.0,92.0,2.4,95,4.0,Poor
Prachi,20.0,Female,Urban,No,87.0,94.0,1.4,96,7.7,Poor
Sayali,16.0,Female,Rural,No,74.0,73.0,1.7,77,7.5,Poor
Triveni,19.0,Female,Rural,Yes,72.0,88.0,4.0,41,5.5,Poor
Sagar,17.0,Male,Urban,No,89.0,63.0,4.5,45,9.1,Good
Shruti,18.0,Female,Urban,Yes,99.0,95.0,2.3,87,8.9,Average
Neha,16.0,Female,Rural,Yes,84.0,70.0,2.2,51,6.7,Average
Yash,18.0,Male,Rural,Yes,93.0,80.0,4.0,49,7.5,Average
Mayuri,17.0,Female,Urban,Yes,80.0,66.0,4.6,77,10.0,Good
Manasi,16.0,Female,Rural,Yes,75.0,79.0,4.6,49,8.4,Good
Prathamesh,19.0,Male,Rural,Yes,73.0,70.0,0.9,94,6.7,Poor
Aishwarya,17.0,Female,Rural,Yes,88.0,72.0,2.5,48,5.2,Poor
Mayuri,16.0,Female,Urban,No,66.0,76.0,3.5,56,10.0,Average
Anjali,17.0,Female,Rural,Yes,68.0,68.0,4.3,76,6.8,Average
Chaitanya,16.0,Male,Rural,No,92.0,72.0,2.3,85,6.5,Average
Tanvi,16.0,Female,Urban,Yes,68.0,60.0,2.0,97,6.4,Average
Amol,16.0,Male,Rural,No,89.0,92.0,2.1,91,7.8,Average
Amit,19.0,Male,Urban,Yes,62.0,64.0,1.2,75,6.5,Poor
Gaurav,16.0,Male,Urban,No,64.0,82.0,5.0,63,6.8,Average
Sanjana,19.0,Female,Urban,No,84.0,99.0,3.1,42,8.5,Average
Nikita,20.0,Female,Rural,Yes,73.0,96.0,2.9,46,7.7,Average
Komal,16.0,Female,Rural,No,72.0,65.0,3.1,54,6.4,Average
Sanket,16.0,Male,Rural,Yes,90.0,78.0,3.8,67,6.1,Average
Tanvi,18.0,Female,Rural,No,62.0,81.0,0.5,98,8.2,Poor
Yash,19.0,Male,Urban,Yes,91.0,95.0,2.7,41,5.8,Poor
Aishwarya,17.0,Female,Urban,No,93.0,87.0,2.9,74,6.5,Average
Neha,18.0,Female,Rural,No,67.0,85.0,1.2,54,7.0,Poor
Neha,16.0,Female,Rural,No,76.0,81.0,3.3,86,7.9,Average
Saurabh,20.0,Male,Urban,No,76.0,60.0,3.0,63,4.5,Poor
Nikita,18.0,Female,Urban,Yes,100.0,87.0,5.4,95,10.0,Good
Swanand,17.0,Male,Rural,No,61.0,62.0,2.0,55,6.1,Average
Sayali,19.0,Female,Urban,No,64.0,63.0,3.9,49,8.6,Average
Priya,18.0,Female,Rural,No,77.0,66.0,2.9,58,8.0,Average
Amol,20.0,Male,Urban,No,69.0,68.0,3.6,43,6.6,Average
Sanket,18.0,Male,Rural,No,89.0,62.0,3.0,63,7.7,Average
Prachi,17.0,Female,Rural,Yes,84.0,88.0,3.4,66,7.8,Average
Gaurav,20.0,Male,Rural,No,100.0,89.0,5.1,88,6.4,Average
Tejas,18.0,Male,Rural,No,66.0,60.0,1.4,73,4.0,Poor
Aishwarya,17.0,Female,Rural,No,73.0,76.0,3.2,67,9.3,Average
Nikita,20.0,Female,Urban,Yes,79.0,67.0,3.5,60,6.4,Average
Siddhi,19.0,Female,Rural,Yes,71.0,73.0,3.5,75,8.0,Average
Tejas,19.0,Male,Rural,Yes,99.0,61.0,2.9,56,4.6,Poor
Prathamesh,20.0,Male,Urban,No,83.0,72.0,3.5,95,6.4,Average
Tejas,18.0,Male,Rural,Yes,68.0,94.0,1.4,52,10.0,Poor
Rutuja,20.0,Female,Rural,Yes,67.0,62.0,2.1,54,10.0,Average
Chaitanya,20.0,Male,Rural,No,77.0,77.0,2.2,79,5.4,Poor
Sagar,17.0,Male,Urban,Yes,97.0,68.0,5.7,81,6.3,Average
Vaibhav,18.0,Male,Urban,Yes,64.0,72.0,3.8,83,4.9,Poor
Yash,16.0,Male,Rural,Yes,100.0,70.0,2.4,83,8.5,Average
Kiran,16.0,Male,Rural,No,81.0,65.0,3.1,98,5.6,Poor
Prathamesh,18.0,Male,Rural,Yes,68.0,98.0,2.4,90,5.5,Poor
Akash,17.0,Male,Urban,No,72.0,93.0,3.1,63,6.7,Average
Siddhi,17.0,Female,Rural,Yes,99.0,92.0,3.6,43,6.9,Average
Snehal,18.0,Female,Rural,No,72.0,70.0,3.7,42,8.7,Average
Omkar,20.0,Male,Urban,Yes,91.0,84.0,2.2,65,8.9,Average
Sagar,17.0,Male,Urban,No,100.0,73.0,3.1,79,4.9,Poor
Amit,20.0,Male,Urban,No,92.0,61.0,3.4,62,6.8,Average
Swapnil,17.0,Male,Urban,No,90.0,85.0,2.5,77,6.5,Average
Omkar,18.0,Male,Urban,No,82.0,69.0,3.2,49,10.0,Average
Bhushan,18.0,Male,Urban,Yes,88.0,67.0,2.8,50,8.2,Average
Amol,20.0,Male,Urban,Yes,82.0,89.0,4.9,52,7.9,Average
Chaitanya,17.0,Male,Urban,Yes,76.0,99.0,2.2,81,5.9,Poor
Yash,18.0,Male,Rural,No,89.0,67.0,3.5,41,5.8,Poor
Anjali,20.0,Female,Rural,No,93.0,61.0,3.0,63,7.1,Average
Sayali,18.0,Female,Urban,No,70.0,87.0,4.7,67,6.9,Average
Rutuja,17.0,Female,Urban,No,66.0,61.0,1.9,100,8.1,Poor
Sanket,17.0,Male,Urban,No,64.0,91.0,3.0,73,5.8,Poor
Swapnil,16.0,Male,Rural,No,62.0,98.0,5.0,69,8.4,Good
Rohit,20.0,Male,Urban,No,60.0,77.0,3.2,59,9.7,Average
Yash,16.0,Male,Rural,Yes,96.0,95.0,2.3,83,5.5,Poor
Shubham,16.0,Male,Rural,No,91.0,79.0,2.5,52,7.2,Average
Priya,20.0,Female,Rural,Yes,100.0,100.0,5.1,64,9.5,Good
Shruti,18.0,Female,Rural,Yes,74.0,72.0,3.6,64,7.8,Average
Tejas,19.0,Male,Urban,No,69.0,96.0,2.0,67,8.4,Average
Sayali,19.0,Female,Urban,Yes,78.0,71.0,4.0,96,4.0,Poor
Aishwarya,18.0,Female,Urban,Yes,64.0,68.0,4.0,93,7.4,Average
Amit,18.0,Male,Urban,Yes,66.0,76.0,2.8,61,8.1,Average
Swanand,19.0,Male,Urban,No,95.0,62.0,2.5,52,6.1,Average
Omkar,19.0,Male,Urban,Yes,89.0,67.0,3.6,66,4.4,Poor
Triveni,17.0,Female,Rural,No,88.0,62.0,4.0,50,7.2,Average
Mrunal,16.0,Female,Rural,No,78.0,81.0,2.7,85,7.8,Average
Priya,17.0,Female,Rural,No,83.0,96.0,5.0,74,8.1,Good
Shubham,17.0,Male,Urban,Yes,81.0,79.0,1.9,96,7.9,Poor
Komal,16.0,Female,Urban,No,78.0,81.0,3.6,63,6.5,Average
Sahil,17.0,Male,Urban,Yes,95.0,97.0,0.6,48,4.0,Poor
Siddhi,18.0,Female,Urban,Yes,67.0,87.0,2.6,85,7.4,Average
Sanket,18.0,Male,Rural,Yes,62.0,65.0,3.1,50,8.2,Average
Swapnil,20.0,Male,Rural,No,68.0,100.0,1.4,41,7.3,Poor
Manasi,20.0,Female,Urban,No,66.0,73.0,1.4,94,6.8,Poor
Bhushan,17.0,Male,Urban,Yes,95.0,85.0,3.6,69,5.8,Poor
Komal,18.0,Female,Rural,Yes,100.0,60.0,1.4,94,9.1,Poor
Rutuja,18.0,Female,Rural,No,60.0,79.0,1.6,67,8.5,Poor
Vaibhav,20.0,Male,Rural,No,61.0,79.0,4.7,65,7.7,Average
Sanjana,17.0,Female,Urban,No,80.0,68.0,5.1,46,6.4,Average
Yash,18.0,Male,Rural,Yes,72.0,66.0,1.2,40,7.6,Poor
Vaibhav,16.0,Male,Rural,No,74.0,100.0,1.1,83,6.6,Poor
Triveni,17.0,Female,Rural,Yes,81.0,74.0,4.5,77,7.9,Average
Siddhi,19.0,Female,Urban,Yes,93.0,93.0,2.7,44,6.1,Average
Aishwarya,16.0,Female,Rural,No,81.0,100.0,2.5,64,6.4,Average
Shruti,20.0,Female,Rural,Yes,76.0,63.0,4.3,71,9.8,Good
Shruti,18.0,Female,Urban,No,74.0,78.0,2.0,69,6.8,Average
Amit,20.0,Male,Urban,No,98.0,95.0,2.7,43,5.8,Poor
Komal,16.0,Female,Rural,Yes,63.0,83.0,3.1,81,7.9,Average
Rutu,19.0,Female,Urban,No,100.0,71.0,2.6,99,8.7,Average
Sayali,18.0,Female,Rural,No,100.0,66.0,3.3,94,8.9,Average
Siddhi,19.0,Female,Rural,Yes,88.0,83.0,1.9,58,8.6,Poor
Akash,19.0,Male,Urban,No,78.0,66.0,1.6,62,7.3,Poor
Sayali,19.0,Female,Rural,No,66.0,91.0,4.3,75,7.6,Average
Pooja,20.0,Female,Urban,No,61.0,97.0,3.3,78,7.5,Average
Pooja,17.0,Female,Rural,Yes,63.0,96.0,3.3,67,6.2,Average
Komal,16.0,Female,Urban,No,72.0,83.0,2.8,40,7.1,Average
Yash,18.0,Male,Urban,Yes,67.0,62.0,3.1,55,6.6,Average
Rohit,16.0,Male,Urban,No,98.0,93.0,1.7,66,6.9,Poor
Swanand,18.0,Male,Rural,Yes,95.0,74.0,4.4,56,5.9,Poor
Rohit,17.0,Male,Urban,No,85.0,69.0,2.3,91,6.6,Average
Saurabh,20.0,Male,Urban,Yes,99.0,80.0,1.3,95,5.3,Poor
Chaitanya,19.0,Male,Urban,No,60.0,83.0,2.2,87,7.7,Average
Prachi,18.0,Female,Rural,Yes,60.0,91.0,3.4,63,9.1,Average
Yash,16.0,Male,Urban,Yes,64.0,82.0,2.5,58,7.0,Average
Tejas,17.0,Male,Rural,No,91.0,65.0,0.8,90,8.2,Poor
Swanand,20.0,Male,Urban,Yes,94.0,70.0,2.6,74,6.3,Average
Omkar,17.0,Male,Rural,Yes,60.0,68.0,2.9,76,6.4,Average
Akash,19.0,Male,Urban,No,82.0,60.0,5.1,44,7.8,Average
Bhushan,18.0,Male,Urban,No,98.0,86.0,2.6,87,6.9,Average
Shubham,17.0,Male,Rural,Yes,72.0,69.0,3.4,82,8.7,Average
Pooja,19.0,Female,Urban,Yes,81.0,93.0,3.4,41,5.0,Poor
Pooja,16.0,Female,Rural,No,89.0,69.0,3.6,48,6.9,Average
Priya,19.0,Female,Rural,Yes,78.0,89.0,5.0,64,7.5,Average
Pooja,18.0,Female,Urban,No,63.0,88.0,3.9,52,6.6,Average
Saurabh,20.0,Male,Rural,Yes,79.0,88.0,3.2,70,6.5,Average
Sanjana,19.0,Female,Urban,No,73.0,66.0,1.6,69,7.0,Poor
Bhushan,18.0,Male,Rural,No,68.0,92.0,2.0,64,7.1,Average
Priya,17.0,Female,Rural,Yes,71.0,66.0,5.1,78,7.6,Average
Rutuja,17.0,Female,Urban,No,77.0,70.0,3.8,89,8.3,Average
Sanket,16.0,Male,Urban,Yes,84.0,68.0,1.3,55,7.4,Poor
Chaitanya,16.0,Male,Urban,No,71.0,69.0,0.5,66,5.9,Poor
Prachi,18.0,Female,Urban,Yes,85.0,65.0,3.3,93,6.4,Average
Snehal,16.0,Female,Rural,No,95.0,77.0,2.9,49,7.9,Average
Mayuri,17.0,Female,Rural,No,97.0,94.0,2.3,72,4.0,Poor
Sahil,19.0,Male,Rural,No,90.0,97.0,3.5,66,5.0,Poor
Amol,20.0,Male,Rural,Yes,82.0,83.0,2.5,69,6.6,Average
Saurabh,19.0,Male,Rural,Yes,60.0,60.0,0.5,97,7.0,Poor
Priya,19.0,Female,Rural,Yes,82.0,66.0,1.7,60,7.3,Poor
Sayali,20.0,Female,Rural,No,96.0,77.0,1.4,93,8.0,Poor
Prathamesh,20.0,Male,Rural,Yes,99.0,73.0,4.0,71,7.4,Average
Sanket,20.0,Male,Rural,No,71.0,82.0,1.9,73,8.5,Poor
Akash,18.0,Male,Rural,No,86.0,66.0,5.5,71,8.5,Good
Yash,19.0,Male,Urban,Yes,73.0,88.0,2.7,89,6.8,Average
Akash,16.0,Male,Urban,Yes,66.0,82.0,3.8,50,9.2,Average
Sayali,18.0,Female,Rural,Yes,66.0,96.0,4.5,45,9.4,Good
Rutuja,18.0,Female,Urban,Yes,90.0,63.0,0.9,57,4.7,Poor
Sayali,16.0,Female,Urban,No,70.0,73.0,4.3,82,5.7,Poor
Pooja,17.0,Female,Urban,No,72.0,78.0,4.2,58,8.1,Good
Neha,17.0,Female,Urban,Yes,90.0,99.0,1.0,66,6.7,Poor
Priya,18.0,Female,Rural,Yes,92.0,81.0,1.3,79,4.9,Poor
Triveni,17.0,Female,Rural,Yes,97.0,77.0,2.5,91,7.8,Average
Sagar,17.0,Male,Urban,No,67.0,94.0,2.0,57,6.4,Average
Tanvi,19.0,Female,Rural,Yes,86.0,97.0,0.5,47,7.1,Poor
Siddhi,16.0,Female,Urban,Yes,80.0,100.0,3.0,43,6.0,Average
Siddhi,20.0,Female,Rural,No,78.0,81.0,1.4,90,7.2,Poor
Vaibhav,18.0,Male,Rural,Yes,64.0,60.0,5.3,63,7.4,Average
Komal,16.0,Female,Urban,No,66.0,78.0,3.1,98,6.4,Average
Komal,17.0,Female,Rural,Yes,71.0,71.0,2.9,67,7.3,Average
Siddhi,17.0,Female,Urban,No,61.0,98.0,2.5,94,4.0,Poor
Yash,20.0,Male,Urban,No,95.0,77.0,2.0,86,7.4,Average
Tanvi,17.0,Female,Rural,Yes,77.0,82.0,2.0,87,7.2,Average
Rutu,18.0,Female,Rural,No,90.0,84.0,3.0,83,7.3,Average
Manasi,20.0,Female,Rural,Yes,98.0,97.0,4.7,55,4.8,Poor
Snehal,19.0,Female,Urban,No,67.0,90.0,1.9,49,5.8,Poor
Swapnil,16.0,Male,Urban,Yes,78.0,61.0,1.8,100,5.8,Poor
Sanjana,16.0,Female,Rural,Yes,88.0,73.0,4.0,46,4.0,Poor
Sagar,16.0,Male,Rural,Yes,73.0,64.0,0.8,97,8.1,Poor
Shubham,20.0,Male,Rural,No,72.0,100.0,3.4,62,4.5,Poor
Rutuja,16.0,Female,Urban,No,67.0,81.0,2.3,70,7.0,Average
Shruti,17.0,Female,Urban,No,95.0,98.0,3.8,42,7.1,Average
Amit,20.0,Male,Urban,No,63.0,74.0,2.6,69,9.6,Average
Triveni,16.0,Female,Rural,Yes,74.0,98.0,4.0,98,6.9,Average
Akash,17.0,Male,Urban,No,72.0,65.0,3.7,87,5.0,Poor
Prachi,20.0,Female,Urban,Yes,71.0,97.0,3.9,61,7.7,Average
Siddhi,18.0,Female,Rural,No,85.0,80.0,3.7,55,7.0,Average
Nikita,17.0,Female,Rural,No,72.0,85.0,6.1,58,9.0,Good
