Name,Age,Gender,AreaOfLiving,ExtraCurricular,TenthMarks,TwelfthMarks,StudyHours,Attendance,PreviousCGPA,Performance
Swanand,20,Male,Rural,No,82,87,4.0,75,8.9,Good
Sayali,20,Female,Rural,Yes,74,63,3.7,91,7.1,Average
Omkar,18,Male,Urban,No,74,91,2.6,58,7.7,Average
Omkar,16,Male,Rural,Yes,71,82,1.4,61,6.3,Poor
Pooja,16,Female,Urban,Yes,74,76,3.4,95,8.7,Average
Tejas,19,Male,Urban,No,96,82,3.1,58,6.3,Average
Prathamesh,19,Male,Rural,Yes,72,100,1.0,57,7.0,Poor
Sanket,18,Male,Urban,Yes,82,77,2.5,78,5.7,Poor
Snehal,16,Female,Rural,Yes,61,98,3.6,93,6.7,Average
Aishwarya,19,Female,Rural,No,93,85,0.5,71,6.2,Poor
Tejas,19,Male,Urban,Yes,69,68,4.8,79,8.4,Good
Mayuri,18,Female,Urban,Yes,79,72,3.7,94,6.1,Average
Mayuri,18,Female,Urban,Yes,78,86,2.9,96,7.8,Average
Mayuri,18,Female,Urban,No,90,85,2.8,74,7.7,Average
Bhushan,18,Male,Urban,Yes,89,69,2.2,94,6.0,Average
Omkar,16,Male,Rural,Yes,64,70,3.5,76,4.0,Poor
Nikita,19,Female,Rural,No,99,64,3.2,88,8.0,Average
Omkar,19,Male,Rural,No,65,72,3.1,47,7.7,Average
Rutu,17,Female,Urban,Yes,81,84,2.7,50,7.5,Average
Prathamesh,16,Male,Urban,Yes,75,94,3.6,42,5.5,Poor
Pooja,20,Female,Urban,Yes,88,75,2.9,85,7.2,Average
Akash,19,Male,Rural,No,82,77,2.7,81,6.5,Average
Vaibhav,17,Male,Rural,Yes,79,64,1.0,53,9.3,Poor
Yash,18,Male,Rural,No,75,85,1.2,93,6.4,Poor
Chaitanya,19,Male,Urban,Yes,77,70,3.3,64,5.9,Poor
Snehal,18,Female,Rural,No,75,85,2.8,85,5.0,Poor
Mayuri,19,Female,Rural,No,88,94,3.5,88,8.7,Average
Amol,16,Male,Urban,No,85,75,3.2,87,7.9,Average
Prachi,19,Female,Rural,No,61,87,4.1,68,5.9,Poor
Shubham,20,Male,Urban,Yes,82,61,3.1,79,8.8,Average
Mayuri,17,Female,Urban,Yes,94,83,1.7,46,7.6,Poor
Shruti,18,Female,Urban,No,94,60,0.7,44,7.8,Poor
Sahil,20,Male,Rural,Yes,91,99,2.0,41,5.9,Poor
Neha,19,Female,Rural,Yes,80,67,5.2,64,6.9,Average
Bhushan,18,Male,Rural,No,88,76,5.1,46,6.1,Average
Prachi,18,Female,Urban,No,69,82,2.3,99,10.0,Average
Prachi,16,Female,Rural,Yes,83,100,3.3,68,7.7,Average
Prachi,17,Female,Rural,Yes,86,99,2.8,70,8.1,Average
Rohit,17,Male,Urban,No,86,70,4.3,84,7.3,Average
Sahil,18,Male,Urban,Yes,99,100,3.0,98,9.1,Average
Akash,19,Male,Urban,Yes,76,87,3.9,69,6.0,Average
Sahil,17,Male,Urban,Yes,84,63,1.9,83,7.7,Poor
Snehal,20,Female,Urban,Yes,61,86,4.2,52,8.2,Good
Rohit,16,Male,Urban,Yes,65,68,2.1,55,9.4,Average
Kiran,17,Male,Urban,No,81,61,1.3,63,6.1,Poor
Mrunal,16,Female,Rural,Yes,73,84,0.9,67,4.7,Poor
Nikita,16,Female,Rural,Yes,76,100,4.7,59,4.1,Poor
Kiran,16,Male,Rural,No,65,84,2.6,60,8.3,Average
Manasi,16,Female,Rural,No,100,89,2.7,54,9.2,Average
Nikita,17,Female,Urban,Yes,67,62,2.9,81,7.8,Average
Bhushan,18,Male,Urban,No,65,84,4.1,84,7.5,Average
Priya,20,Female,Rural,No,70,69,5.2,70,5.7,Poor
Manasi,17,Female,Urban,Yes,94,84,3.0,43,4.0,Poor
Omkar,19,Male,Urban,No,66,97,4.5,54,8.2,Good
Komal,17,Female,Urban,Yes,85,76,1.7,48,8.4,Poor
Amol,16,Male,Urban,No,74,71,2.4,52,7.0,Average
Tanvi,18,Female,Rural,Yes,66,60,3.1,48,7.8,Average
Mrunal,19,Female,Rural,No,83,72,2.5,74,8.0,Average
Mayuri,20,Female,Urban,No,75,62,3.8,93,4.0,Poor
Komal,18,Female,Urban,No,97,73,4.6,64,7.2,Average
Akash,20,Male,Urban,Yes,63,78,2.8,46,6.7,Average
Tejas,20,Male,Urban,No,70,68,3.1,100,5.5,Poor
Rutuja,20,Female,Urban,No,71,72,5.5,80,4.1,Poor
Vaibhav,16,Male,Rural,No,89,85,2.9,78,5.0,Poor
Sayali,16,Female,Urban,No,81,96,4.0,47,4.0,Poor
Tanvi,16,Female,Rural,No,81,82,4.2,70,6.2,Average
Priya,20,Female,Urban,Yes,83,83,0.8,47,6.9,Poor
Mrunal,16,Female,Rural,No,73,73,3.6,87,8.1,Average
Tanvi,19,Female,Urban,Yes,93,78,2.0,41,8.5,Average
Rohit,19,Male,Rural,No,74,63,4.0,51,7.5,Average
Shubham,17,Male,Urban,Yes,81,68,1.3,69,6.9,Poor
Sagar,20,Male,Urban,Yes,99,77,3.5,55,6.7,Average
Anjali,16,Female,Rural,Yes,87,66,3.9,42,9.7,Average
Tejas,16,Male,Urban,No,81,73,3.5,47,5.7,Poor
Amit,18,Male,Urban,Yes,61,92,3.7,63,6.9,Average
Swanand,18,Male,Urban,Yes,64,100,3.6,86,7.5,Average
Kiran,18,Male,Urban,No,93,63,2.9,63,7.3,Average
Kiran,19,Male,Urban,No,83,64,1.6,81,6.7,Poor
Akash,18,Male,Rural,No,76,65,1.5,74,7.4,Poor
Manasi,16,Female,Rural,No,65,69,3.7,91,6.0,Average
Tanvi,17,Female,Urban,No,60,65,3.7,96,7.6,Average
Tanvi,17,Female,Urban,Yes,99,80,2.4,96,8.0,Average
Aishwarya,20,Female,Rural,Yes,64,93,3.4,52,5.8,Poor
Tejas,16,Male,Urban,Yes,80,61,2.4,72,7.0,Average
Siddhi,17,Female,Urban,No,82,84,2.8,72,7.7,Average
Bhushan,16,Male,Rural,No,87,67,3.4,74,6.0,Average
Gaurav,20,Male,Rural,Yes,92,81,1.8,57,7.8,Poor
Priya,17,Female,Urban,No,70,91,4.0,63,6.0,Average
Shruti,17,Female,Urban,Yes,69,82,3.8,62,7.7,Average
Amit,20,Male,Urban,No,74,74,5.7,95,5.9,Poor
Kiran,17,Male,Urban,No,71,99,3.0,89,5.6,Poor
Mayuri,18,Female,Rural,No,71,66,3.4,64,7.2,Average
Sanjana,18,Female,Urban,Yes,98,75,3.8,76,7.9,Average
Sanjana,17,Female,Urban,Yes,94,63,3.9,43,4.0,Poor
Triveni,20,Female,Urban,Yes,63,94,2.4,90,6.0,Average
Omkar,17,Male,Urban,Yes,83,73,4.3,100,7.6,Average
Akash,19,Male,Urban,Yes,92,97,4.4,80,8.6,Good
Pooja,17,Female,Rural,Yes,63,92,2.4,95,4.0,Poor
Prachi,20,Female,Urban,No,87,94,1.4,96,7.7,Poor
Sayali,16,Female,Rural,No,74,73,1.7,77,7.5,Poor
Triveni,19,Female,Rural,Yes,72,88,4.0,41,5.5,Poor
Sagar,17,Male,Urban,No,89,63,4.5,45,9.1,Good
Shruti,18,Female,Urban,Yes,99,95,2.3,87,8.9,Average
Neha,16,Female,Rural,Yes,84,70,2.2,51,6.7,Average
Yash,18,Male,Rural,Yes,93,80,4.0,49,7.5,Average
Mayuri,17,Female,Urban,Yes,80,66,4.6,77,10.0,Good
Manasi,16,Female,Rural,Yes,75,79,4.6,49,8.4,Good
Prathamesh,19,Male,Rural,Yes,73,70,0.9,94,6.7,Poor
Aishwarya,17,Female,Rural,Yes,88,72,2.5,48,5.2,Poor
Mayuri,16,Female,Urban,No,66,76,3.5,56,10.0,Average
Anjali,17,Female,Rural,Yes,68,68,4.3,76,6.8,Average
Chaitanya,16,Male,Rural,No,92,72,2.3,85,6.5,Average
Tanvi,16,Female,Urban,Yes,68,60,2.0,97,6.4,Average
Amol,16,Male,Rural,No,89,92,2.1,91,7.8,Average
Amit,19,Male,Urban,Yes,62,64,1.2,75,6.5,Poor
Gaurav,16,Male,Urban,No,64,82,5.0,63,6.8,Average
Sanjana,19,Female,Urban,No,84,99,3.1,42,8.5,Average
Nikita,20,Female,Rural,Yes,73,96,2.9,46,7.7,Average
Komal,16,Female,Rural,No,72,65,3.1,54,6.4,Average
Sanket,16,Male,Rural,Yes,90,78,3.8,67,6.1,Average
Tanvi,18,Female,Rural,No,62,81,0.5,98,8.2,Poor
Yash,19,Male,Urban,Yes,91,95,2.7,41,5.8,Poor
Aishwarya,17,Female,Urban,No,93,87,2.9,74,6.5,Average
Neha,18,Female,Rural,No,67,85,1.2,54,7.0,Poor
Neha,16,Female,Rural,No,76,81,3.3,86,7.9,Average
Saurabh,20,Male,Urban,No,76,60,3.0,63,4.5,Poor
Nikita,18,Female,Urban,Yes,100,87,5.4,95,10.0,Good
Swanand,17,Male,Rural,No,61,62,2.0,55,6.1,Average
Sayali,19,Female,Urban,No,64,63,3.9,49,8.6,Average
Priya,18,Female,Rural,No,77,66,2.9,58,8.0,Average
Amol,20,Male,Urban,No,69,68,3.6,43,6.6,Average
Sanket,18,Male,Rural,No,89,62,3.0,63,7.7,Average
Prachi,17,Female,Rural,Yes,84,88,3.4,66,7.8,Average
Gaurav,20,Male,Rural,No,100,89,5.1,88,6.4,Average
Tejas,18,Male,Rural,No,66,60,1.4,73,4.0,Poor
Aishwarya,17,Female,Rural,No,73,76,3.2,67,9.3,Average
Nikita,20,Female,Urban,Yes,79,67,3.5,60,6.4,Average
Siddhi,19,Female,Rural,Yes,71,73,3.5,75,8.0,Average
Tejas,19,Male,Rural,Yes,99,61,2.9,56,4.6,Poor
Prathamesh,20,Male,Urban,No,83,72,3.5,95,6.4,Average
Tejas,18,Male,Rural,Yes,68,94,1.4,52,10.0,Poor
Rutuja,20,Female,Rural,Yes,67,62,2.1,54,10.0,Average
Chaitanya,20,Male,Rural,No,77,77,2.2,79,5.4,Poor
Sagar,17,Male,Urban,Yes,97,68,5.7,81,6.3,Average
Vaibhav,18,Male,Urban,Yes,64,72,3.8,83,4.9,Poor
Yash,16,Male,Rural,Yes,100,70,2.4,83,8.5,Average
Kiran,16,Male,Rural,No,81,65,3.1,98,5.6,Poor
Prathamesh,18,Male,Rural,Yes,68,98,2.4,90,5.5,Poor
Akash,17,Male,Urban,No,72,93,3.1,63,6.7,Average
Siddhi,17,Female,Rural,Yes,99,92,3.6,43,6.9,Average
Snehal,18,Female,Rural,No,72,70,3.7,42,8.7,Average
Omkar,20,Male,Urban,Yes,91,84,2.2,65,8.9,Average
Sagar,17,Male,Urban,No,100,73,3.1,79,4.9,Poor
Amit,20,Male,Urban,No,92,61,3.4,62,6.8,Average
Swapnil,17,Male,Urban,No,90,85,2.5,77,6.5,Average
Omkar,18,Male,Urban,No,82,69,3.2,49,10.0,Average
Bhushan,18,Male,Urban,Yes,88,67,2.8,50,8.2,Average
Amol,20,Male,Urban,Yes,82,89,4.9,52,7.9,Average
Chaitanya,17,Male,Urban,Yes,76,99,2.2,81,5.9,Poor
Yash,18,Male,Rural,No,89,67,3.5,41,5.8,Poor
Anjali,20,Female,Rural,No,93,61,3.0,63,7.1,Average
Sayali,18,Female,Urban,No,70,87,4.7,67,6.9,Average
Rutuja,17,Female,Urban,No,66,61,1.9,100,8.1,Poor
Sanket,17,Male,Urban,No,64,91,3.0,73,5.8,Poor
Swapnil,16,Male,Rural,No,62,98,5.0,69,8.4,Good
Rohit,20,Male,Urban,No,60,77,3.2,59,9.7,Average
Yash,16,Male,Rural,Yes,96,95,2.3,83,5.5,Poor
Shubham,16,Male,Rural,No,91,79,2.5,52,7.2,Average
Priya,20,Female,Rural,Yes,100,100,5.1,64,9.5,Good
Shruti,18,Female,Rural,Yes,74,72,3.6,64,7.8,Average
Tejas,19,Male,Urban,No,69,96,2.0,67,8.4,Average
Sayali,19,Female,Urban,Yes,78,71,4.0,96,4.0,Poor
Aishwarya,18,Female,Urban,Yes,64,68,4.0,93,7.4,Average
Amit,18,Male,Urban,Yes,66,76,2.8,61,8.1,Average
Swanand,19,Male,Urban,No,95,62,2.5,52,6.1,Average
Omkar,19,Male,Urban,Yes,89,67,3.6,66,4.4,Poor
Triveni,17,Female,Rural,No,88,62,4.0,50,7.2,Average
Mrunal,16,Female,Rural,No,78,81,2.7,85,7.8,Average
Priya,17,Female,Rural,No,83,96,5.0,74,8.1,Good
Shubham,17,Male,Urban,Yes,81,79,1.9,96,7.9,Poor
Komal,16,Female,Urban,No,78,81,3.6,63,6.5,Average
Sahil,17,Male,Urban,Yes,95,97,0.6,48,4.0,Poor
Siddhi,18,Female,Urban,Yes,67,87,2.6,85,7.4,Average
Sanket,18,Male,Rural,Yes,62,65,3.1,50,8.2,Average
Swapnil,20,Male,Rural,No,68,100,1.4,41,7.3,Poor
Manasi,20,Female,Urban,No,66,73,1.4,94,6.8,Poor
Bhushan,17,Male,Urban,Yes,95,85,3.6,69,5.8,Poor
Komal,18,Female,Rural,Yes,100,60,1.4,94,9.1,Poor
Rutuja,18,Female,Rural,No,60,79,1.6,67,8.5,Poor
Vaibhav,20,Male,Rural,No,61,79,4.7,65,7.7,Average
Sanjana,17,Female,Urban,No,80,68,5.1,46,6.4,Average
Yash,18,Male,Rural,Yes,72,66,1.2,40,7.6,Poor
Vaibhav,16,Male,Rural,No,74,100,1.1,83,6.6,Poor
Triveni,17,Female,Rural,Yes,81,74,4.5,77,7.9,Average
Siddhi,19,Female,Urban,Yes,93,93,2.7,44,6.1,Average
Aishwarya,16,Female,Rural,No,81,100,2.5,64,6.4,Average
Shruti,20,Female,Rural,Yes,76,63,4.3,71,9.8,Good
Shruti,18,Female,Urban,No,74,78,2.0,69,6.8,Average
Amit,20,Male,Urban,No,98,95,2.7,43,5.8,Poor
Komal,16,Female,Rural,Yes,63,83,3.1,81,7.9,Average
Rutu,19,Female,Urban,No,100,71,2.6,99,8.7,Average
Sayali,18,Female,Rural,No,100,66,3.3,94,8.9,Average
Siddhi,19,Female,Rural,Yes,88,83,1.9,58,8.6,Poor
Akash,19,Male,Urban,No,78,66,1.6,62,7.3,Poor
Sayali,19,Female,Rural,No,66,91,4.3,75,7.6,Average
Pooja,20,Female,Urban,No,61,97,3.3,78,7.5,Average
Pooja,17,Female,Rural,Yes,63,96,3.3,67,6.2,Average
Komal,16,Female,Urban,No,72,83,2.8,40,7.1,Average
Yash,18,Male,Urban,Yes,67,62,3.1,55,6.6,Average
Rohit,16,Male,Urban,No,98,93,1.7,66,6.9,Poor
Swanand,18,Male,Rural,Yes,95,74,4.4,56,5.9,Poor
Rohit,17,Male,Urban,No,85,69,2.3,91,6.6,Average
Saurabh,20,Male,Urban,Yes,99,80,1.3,95,5.3,Poor
Chaitanya,19,Male,Urban,No,60,83,2.2,87,7.7,Average
Prachi,18,Female,Rural,Yes,60,91,3.4,63,9.1,Average
Yash,16,Male,Urban,Yes,64,82,2.5,58,7.0,Average
Tejas,17,Male,Rural,No,91,65,0.8,90,8.2,Poor
Swanand,20,Male,Urban,Yes,94,70,2.6,74,6.3,Average
Omkar,17,Male,Rural,Yes,60,68,2.9,76,6.4,Average
Akash,19,Male,Urban,No,82,60,5.1,44,7.8,Average
Bhushan,18,Male,Urban,No,98,86,2.6,87,6.9,Average
Shubham,17,Male,Rural,Yes,72,69,3.4,82,8.7,Average
Pooja,19,Female,Urban,Yes,81,93,3.4,41,5.0,Poor
Pooja,16,Female,Rural,No,89,69,3.6,48,6.9,Average
Priya,19,Female,Rural,Yes,78,89,5.0,64,7.5,Average
Pooja,18,Female,Urban,No,63,88,3.9,52,6.6,Average
Saurabh,20,Male,Rural,Yes,79,88,3.2,70,6.5,Average
Sanjana,19,Female,Urban,No,73,66,1.6,69,7.0,Poor
Bhushan,18,Male,Rural,No,68,92,2.0,64,7.1,Average
Priya,17,Female,Rural,Yes,71,66,5.1,78,7.6,Average
Rutuja,17,Female,Urban,No,77,70,3.8,89,8.3,Average
Sanket,16,Male,Urban,Yes,84,68,1.3,55,7.4,Poor
Chaitanya,16,Male,Urban,No,71,69,0.5,66,5.9,Poor
Prachi,18,Female,Urban,Yes,85,65,3.3,93,6.4,Average
Snehal,16,Female,Rural,No,95,77,2.9,49,7.9,Average
Mayuri,17,Female,Rural,No,97,94,2.3,72,4.0,Poor
Sahil,19,Male,Rural,No,90,97,3.5,66,5.0,Poor
Amol,20,Male,Rural,Yes,82,83,2.5,69,6.6,Average
Saurabh,19,Male,Rural,Yes,60,60,0.5,97,7.0,Poor
Priya,19,Female,Rural,Yes,82,66,1.7,60,7.3,Poor
Sayali,20,Female,Rural,No,96,77,1.4,93,8.0,Poor
Prathamesh,20,Male,Rural,Yes,99,73,4.0,71,7.4,Average
Sanket,20,Male,Rural,No,71,82,1.9,73,8.5,Poor
Akash,18,Male,Rural,No,86,66,5.5,71,8.5,Good
Yash,19,Male,Urban,Yes,73,88,2.7,89,6.8,Average
Akash,16,Male,Urban,Yes,66,82,3.8,50,9.2,Average
Sayali,18,Female,Rural,Yes,66,96,4.5,45,9.4,Good
Rutuja,18,Female,Urban,Yes,90,63,0.9,57,4.7,Poor
Sayali,16,Female,Urban,No,70,73,4.3,82,5.7,Poor
Pooja,17,Female,Urban,No,72,78,4.2,58,8.1,Good
Neha,17,Female,Urban,Yes,90,99,1.0,66,6.7,Poor
Priya,18,Female,Rural,Yes,92,81,1.3,79,4.9,Poor
Triveni,17,Female,Rural,Yes,97,77,2.5,91,7.8,Average
Sagar,17,Male,Urban,No,67,94,2.0,57,6.4,Average
Tanvi,19,Female,Rural,Yes,86,97,0.5,47,7.1,Poor
Siddhi,16,Female,Urban,Yes,80,100,3.0,43,6.0,Average
Siddhi,20,Female,Rural,No,78,81,1.4,90,7.2,Poor
Vaibhav,18,Male,Rural,Yes,64,60,5.3,63,7.4,Average
Komal,16,Female,Urban,No,66,78,3.1,98,6.4,Average
Komal,17,Female,Rural,Yes,71,71,2.9,67,7.3,Average
Siddhi,17,Female,Urban,No,61,98,2.5,94,4.0,Poor
Yash,20,Male,Urban,No,95,77,2.0,86,7.4,Average
Tanvi,17,Female,Rural,Yes,77,82,2.0,87,7.2,Average
Rutu,18,Female,Rural,No,90,84,3.0,83,7.3,Average
Manasi,20,Female,Rural,Yes,98,97,4.7,55,4.8,Poor
Snehal,19,Female,Urban,No,67,90,1.9,49,5.8,Poor
Swapnil,16,Male,Urban,Yes,78,61,1.8,100,5.8,Poor
Sanjana,16,Female,Rural,Yes,88,73,4.0,46,4.0,Poor
Sagar,16,Male,Rural,Yes,73,64,0.8,97,8.1,Poor
Shubham,20,Male,Rural,No,72,100,3.4,62,4.5,Poor
Rutuja,16,Female,Urban,No,67,81,2.3,70,7.0,Average
Shruti,17,Female,Urban,No,95,98,3.8,42,7.1,Average
Amit,20,Male,Urban,No,63,74,2.6,69,9.6,Average
Triveni,16,Female,Rural,Yes,74,98,4.0,98,6.9,Average
Akash,17,Male,Urban,No,72,65,3.7,87,5.0,Poor
Prachi,20,Female,Urban,Yes,71,97,3.9,61,7.7,Average
Siddhi,18,Female,Rural,No,85,80,3.7,55,7.0,Average
Nikita,17,Female,Rural,No,72,85,6.1,58,9.0,Good
Komal,20,Female,Urban,Yes,80,73,2.9,48,7.6,Average
Swanand,19,Male,Urban,Yes,87,97,1.5,78,6.9,Poor
Bhushan,17,Male,Rural,No,87,92,3.7,64,4.4,Poor
Swapnil,16,Male,Rural,Yes,61,88,4.8,82,6.1,Average
Sagar,19,Male,Urban,Yes,77,93,3.6,99,6.3,Average
Siddhi,17,Female,Urban,No,62,71,2.8,100,6.1,Average
Tanvi,17,Female,Urban,Yes,68,84,2.5,97,7.2,Average
Sanket,16,Male,Urban,No,94,97,4.0,96,6.5,Average
Rohit,19,Male,Rural,Yes,93,79,3.4,59,7.1,Average
Rutu,17,Female,Rural,No,83,84,3.6,91,7.8,Average
Rutuja,18,Female,Rural,No,80,97,3.1,60,5.3,Poor
Chaitanya,17,Male,Urban,Yes,78,86,4.4,78,6.0,Average
Amol,17,Male,Rural,No,80,64,4.7,55,6.7,Average
Priya,18,Female,Urban,Yes,66,67,3.5,98,4.2,Poor
Prathamesh,17,Male,Rural,No,100,97,0.5,61,8.8,Poor
Mrunal,19,Female,Rural,No,80,65,2.5,56,7.5,Average
Manasi,18,Female,Rural,Yes,96,82,2.7,58,6.3,Average
Rohit,17,Male,Rural,Yes,84,99,4.2,46,8.2,Good
Mayuri,18,Female,Urban,No,98,63,3.4,62,8.2,Average
Mayuri,17,Female,Rural,No,85,80,2.5,60,5.0,Poor
Sahil,17,Male,Rural,Yes,98,81,3.5,97,9.4,Average
Sanket,19,Male,Rural,No,97,71,3.1,63,7.2,Average
Sanket,20,Male,Rural,Yes,61,76,1.7,87,6.6,Poor
Shruti,19,Female,Urban,No,89,98,2.0,53,8.0,Average
Saurabh,17,Male,Rural,No,85,61,2.4,55,8.2,Average
Amol,16,Male,Rural,Yes,78,73,1.6,97,6.4,Poor
Manasi,19,Female,Urban,No,73,92,2.5,61,9.9,Average
Mayuri,20,Female,Urban,No,81,61,3.2,95,5.1,Poor
Komal,18,Female,Rural,Yes,78,97,1.8,68,6.5,Poor
Priya,19,Female,Urban,No,98,87,4.4,85,7.2,Average
Rohit,20,Male,Rural,Yes,93,69,1.7,75,6.3,Poor
Mrunal,19,Female,Urban,Yes,82,68,5.7,75,7.4,Average
Tanvi,20,Female,Urban,Yes,83,70,4.6,91,8.0,Good
Snehal,17,Female,Urban,Yes,90,87,1.8,42,7.4,Poor
Omkar,18,Male,Urban,No,68,77,0.5,52,6.8,Poor
Kiran,19,Male,Rural,No,68,79,4.7,82,8.3,Good
Shubham,20,Male,Rural,No,71,78,2.8,40,6.5,Average
Anjali,19,Female,Urban,Yes,75,83,4.4,56,6.7,Average
Aishwarya,18,Female,Rural,No,92,85,2.7,79,6.7,Average
Mrunal,18,Female,Urban,No,69,73,2.7,62,10.0,Average
Sayali,20,Female,Rural,No,98,88,3.2,99,7.9,Average
Shruti,19,Female,Rural,No,73,64,2.3,88,7.5,Average
Sanjana,16,Female,Urban,Yes,91,66,1.9,50,8.8,Poor
Omkar,16,Male,Urban,Yes,61,73,4.7,90,8.3,Good
Saurabh,16,Male,Urban,Yes,72,67,0.7,72,6.2,Poor
Yash,20,Male,Rural,No,92,71,0.8,50,5.8,Poor
Tejas,19,Male,Rural,No,66,92,4.2,47,6.8,Average
Bhushan,16,Male,Rural,Yes,94,90,2.1,63,6.0,Average
Shubham,18,Male,Urban,No,79,89,2.7,60,7.3,Average
Swanand,20,Male,Rural,No,91,64,3.0,56,5.6,Poor
Nikita,18,Female,Urban,No,67,72,5.2,89,4.9,Poor
Pooja,19,Female,Rural,No,61,72,2.8,73,8.4,Average
Anjali,18,Female,Rural,No,94,80,2.9,97,4.4,Poor
Prachi,16,Female,Urban,No,62,95,2.0,62,7.5,Average
Gaurav,17,Male,Rural,Yes,96,78,3.3,70,6.8,Average
Pooja,16,Female,Urban,Yes,73,79,3.2,40,5.6,Poor
Saurabh,17,Male,Urban,Yes,75,62,2.2,50,9.2,Average
Sagar,16,Male,Rural,No,85,75,4.0,55,6.7,Average
Yash,16,Male,Rural,Yes,73,94,3.7,88,8.7,Average
